id,name,country_code,year_award,award_type
20165,Vivino's 2016 Wine Style Awards: Italian Barbaresco,global,2016,Italian Barbaresco
20167,Vivino's 2016 Wine Style Awards: Italian Barolo,global,2016,Italian Barolo
20169,Vivino's 2016 Wine Style Awards: Italian Bolgheri,global,2016,Italian Bolgheri
20173,Vivino's 2017 Wine Style Awards: Italian Amarone,global,2017,Italian Amarone
20177,Vivino's 2017 Wine Style Awards: Italian Barolo,global,2017,Italian Barolo
20179,Vivino's 2017 Wine Style Awards: Italian Bolgheri,global,2017,Italian Bolgheri
20183,Vivino's 2018 Wine Style Awards: Italian Amarone,global,2018,Italian Amarone
20185,Vivino's 2018 Wine Style Awards: Italian Barbaresco,global,2018,Italian Barbaresco
20187,Vivino's 2018 Wine Style Awards: Italian Barolo,global,2018,Italian Barolo
20189,Vivino's 2018 Wine Style Awards: Italian Bolgheri,global,2018,Italian Bolgheri
20195,Vivino's 2019 Wine Style Awards: Italian Barbaresco,global,2019,Italian Barbaresco
20197,Vivino's 2019 Wine Style Awards: Italian Barolo,global,2019,Italian Barolo
20199,Vivino's 2019 Wine Style Awards: Italian Bolgheri,global,2019,Italian Bolgheri
20203,Vivino's 2020 Wine Style Awards: Italian Amarone,global,2020,Italian Amarone
20205,Vivino's 2020 Wine Style Awards: Italian Barbaresco,global,2020,Italian Barbaresco
20207,Vivino's 2020 Wine Style Awards: Italian Barolo,global,2020,Italian Barolo
20209,Vivino's 2020 Wine Style Awards: Italian Bolgheri,global,2020,Italian Bolgheri
201622,Vivino's 2016 Wine Style Awards: Italian Brunello,global,2016,Italian Brunello
201647,Vivino's 2016 Wine Style Awards: Central Italy Red,global,2016,Central Italy Red
201650,Vivino's 2016 Wine Style Awards: French Champagne,global,2016,French Champagne
201696,Vivino's 2016 Wine Style Awards: Languedoc-Roussillon White,global,2016,Languedoc-Roussillon White
201716,Vivino's 2017 Wine Style Awards: South African Bordeaux Blend,global,2017,South African Bordeaux Blend
201722,Vivino's 2017 Wine Style Awards: Italian Brunello,global,2017,Italian Brunello
201723,Vivino's 2017 Wine Style Awards: Burgundy Red,global,2017,Burgundy Red
201747,Vivino's 2017 Wine Style Awards: Central Italy Red,global,2017,Central Italy Red
201750,Vivino's 2017 Wine Style Awards: French Champagne,global,2017,French Champagne
201816,Vivino's 2018 Wine Style Awards: South African Bordeaux Blend,global,2018,South African Bordeaux Blend
201822,Vivino's 2018 Wine Style Awards: Italian Brunello,global,2018,Italian Brunello
201850,Vivino's 2018 Wine Style Awards: French Champagne,global,2018,French Champagne
201916,Vivino's 2019 Wine Style Awards: South African Bordeaux Blend,global,2019,South African Bordeaux Blend
201922,Vivino's 2019 Wine Style Awards: Italian Brunello,global,2019,Italian Brunello
201950,Vivino's 2019 Wine Style Awards: French Champagne Vintage,global,2019,French Champagne Vintage
202050,Vivino's 2020 Wine Style Awards: French Champagne Vintage,global,2020,French Champagne Vintage
202094,Vivino's 2020 Wine Style Awards: Languedoc-Roussillon Red,global,2020,Languedoc-Roussillon Red
202096,Vivino's 2020 Wine Style Awards: Languedoc-Roussillon White,global,2020,Languedoc-Roussillon White
202098,Vivino's 2020 Wine Style Awards: Argentinian Malbec,global,2020,Argentinian Malbec
2016130,Vivino's 2016 Wine Style Awards: Northern Italy Red,global,2016,Northern Italy Red
2016131,Vivino's 2016 Wine Style Awards: Northern Italy White,global,2016,Northern Italy White
2016212,Vivino's 2016 Wine Style Awards: Southern Rhône Red,global,2016,Southern Rhône Red
2016236,Vivino's 2016 Wine Style Awards: Italian Valpolicella Red,global,2016,Italian Valpolicella Red
2016262,Vivino's 2016 Wine Style Awards: Bordeaux Médoc,global,2016,Bordeaux Médoc
2017122,Vivino's 2017 Wine Style Awards: Italian Montepulciano d'Abruzzo,global,2017,Italian Montepulciano d'Abruzzo
2017212,Vivino's 2017 Wine Style Awards: Southern Rhône Red,global,2017,Southern Rhône Red
2017236,Vivino's 2017 Wine Style Awards: Italian Valpolicella Red,global,2017,Italian Valpolicella Red
